title,image,date,excerpt,link
Hạn mức tín dụng năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-LogoBamepharmNew-326x245.jpg,28/01/2021,,https://bamepharm.com.vn/2021/01/28/han-muc-tin-dung-nam-2021/
Thông qua kết quả kinh doanh năm 2020 và kế hoạch kinh doanh năm 2021,https://bamepharm.com.vn/wp-content/uploads/2017/04/cropped-LogoBamepharmNew-326x245.jpg,28/01/2021,,https://bamepharm.com.vn/2021/01/28/thong-qua-ket-qua-kinh-doanh-nam-2020-va-ke-hoach-kinh-doanh-nam-2021/
CBTT về chốt danh sách cổ đông chi tạm ứng cổ tức năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,17/11/2020,,https://bamepharm.com.vn/2020/11/17/cbtt-ve-chot-danh-sach-co-dong-chi-tam-ung-co-tuc-nam-2020/
CBTT về việc thay đổi nhân sự,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/09/2020, ,https://bamepharm.com.vn/2020/09/28/cbtt-ve-viec-thay-doi-nhan-su/
Thông báo chốt danh sách cổ đông để chi phần còn lại cổ tức 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,29/07/2020,,https://bamepharm.com.vn/2020/07/29/thong-bao-chot-danh-sach-co-dong-de-chi-phan-con-lai-co-tuc-2019/
CBTT danh sách cổ đông lớn 06 tháng đầu năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/07/2020,,https://bamepharm.com.vn/2020/07/28/cbtt-danh-sach-co-dong-lon-06-thang-dau-nam-2020/
CBTT về việc ký hợp đồng kiểm toán cho BCTC năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/07/2020,,https://bamepharm.com.vn/2020/07/23/cbtt-ve-viec-ky-hop-dong-kiem-toan-cho-bctc-nam-2020/
CBTT về biên bản và Nghị quyết ĐHĐCĐ 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/06/2020,Quý cổ đông vui lòng xem nội dung  Tại đây,https://bamepharm.com.vn/2020/06/27/cbtt-ve-bien-ban-va-nghi-quyet-dhdcd-2020/
CBTT về tài liệu ĐHĐCĐ thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,12/6/2020,  Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây: 1. Thư mời tham dự ĐHĐCĐ năm 2020:  Tại đây 2. Thư […],https://bamepharm.com.vn/2020/06/12/cbtt-ve-tai-lieu-dhdcd-thuong-nien-nam-2020/
CBTT về ngày đăng ký cuối cùng thực hiện quyền tham dự ĐHĐCĐ thường niên 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,19/05/2020,,https://bamepharm.com.vn/2020/05/19/cbtt-ve-ngay-dang-ky-cuoi-cung-thuc-hien-quyen-tham-du-dhdcd-thuong-nien-2020/
CBTT về việc gia hạn thời gian tổ chức Đại hội đồng cổ đông thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,17/04/2020, ,https://bamepharm.com.vn/2020/04/17/cbtt-ve-viec-gia-han-thoi-gian-to-chuc-dai-hoi-dong-co-dong-thuong-nien-nam-2020/
CBTT về quyết định xử phạt vi phạm hành chính về thuế năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/03/2020,,https://bamepharm.com.vn/2020/03/27/cbtt-ve-quyet-dinh-xu-phat-vi-pham-hanh-chinh-ve-thue-nam-2019/
CBTT về ngày đăng ký cuối cùng tham dự ĐHĐCĐ thường niên năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,12/3/2020,,https://bamepharm.com.vn/2020/03/12/cbtt-ve-ngay-dang-ky-cuoi-cung-tham-du-dhdcd-thuong-nien-nam-2020/
CBTT về Báo cáo tài chính năm 2019 (sau kiểm toán),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/3/2020,Quý cổ đông vui lòng xem chi tiết BCTC 2018  Tại đây ,https://bamepharm.com.vn/2020/03/03/cbtt-ve-bao-cao-tai-chinh-nam-2019-sau-kiem-toan/
CBTT về Báo cáo thường niên năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/3/2020,Quý cổ đông vui lòng xem chi tiết báo cáo  Tại đây ,https://bamepharm.com.vn/2020/03/03/cbtt-ve-bao-cao-thuong-nien-nam-2019/
CBTT báo cáo tình hình quản trị Công ty năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,31/01/2020,Quý cổ đông vui lòng xem nội dung chi tiết liên kết dưới đây: CBTT_Báo cáo tình hình quản trị Công ty năm 2019,https://bamepharm.com.vn/2020/01/31/cbtt-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2019/
CBTT danh sách cổ đông lớn 06 tháng cuối năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,14/01/2020,,https://bamepharm.com.vn/2020/01/14/cbtt-danh-sach-co-dong-lon-06-thang-cuoi-nam-2019/
CBTT về hạn mức tín dụng năm 2020,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,24/12/2019,,https://bamepharm.com.vn/2019/12/24/cbtt-ve-han-muc-tin-dung-nam-2020/
CBTT về chốt danh sách cổ đông chi tạm ứng cổ tức năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,8/11/2019,,https://bamepharm.com.vn/2019/11/08/cbtt-ve-chot-danh-sach-co-dong-chi-tam-ung-co-tuc-nam-2019/
CBTT về quyết định của Cục thuế tỉnh Đắk Lắk,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,30/08/2019,,https://bamepharm.com.vn/2019/08/30/cbtt-ve-quyet-dinh-cua-cuc-thue-tinh-dak-lak-2/
CBTT_Danh sách cổ đông lớn thời điểm 06 tháng đầu năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,29/07/2019,,https://bamepharm.com.vn/2019/07/29/cbtt_danh-sach-co-dong-lon-thoi-diem-06-thang-dau-nam-2019/
CBTT ký hợp đồng kiểm toán năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,6/7/2019,,https://bamepharm.com.vn/2019/07/06/cbtt-ky-hop-dong-kiem-toan-nam-2019/
CBTT về ngày đăng ký cuối cùng để chi trả phần còn lại của cổ tức năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,3/5/2019,,https://bamepharm.com.vn/2019/05/03/cbtt-ve-ngay-dang-ky-cuoi-cung-de-chi-tra-phan-con-lai-cua-co-tuc-nam-2018/
CBTT về Biên bản và Nghị quyết ĐHĐCĐ năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,20/04/2019,Quý cổ đông vui lòng xem nội dung chi tiết:  Tại đây,https://bamepharm.com.vn/2019/04/20/cbtt-ve-bien-ban-va-nghi-quyet-dhdcd-nam-2019/
CBTT về hạn mức tín dụng năm 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,16/04/2019,,https://bamepharm.com.vn/2019/04/16/cbtt-ve-han-muc-tin-dung-nam-2019/
"Thư mời, giấy uỷ quyền, chương trình làm việc và tài liệu ĐHĐCĐ năm 2019",https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,8/4/2019,Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây: 1. Thư mời tham dự ĐHĐCĐ năm 2019:  Tại đây 2. Thư xác […],https://bamepharm.com.vn/2019/04/08/thu-moi-giay-uy-quyen-chuong-trinh-lam-viec-va-tai-lieu-dhdcd-nam-2019/
Thông báo về việc tổ chức ĐHĐCĐ thường niên 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,5/4/2019,,https://bamepharm.com.vn/2019/04/05/thong-bao-ve-viec-to-chuc-dhdcd-thuong-nien-2019/
CBTT về Báo cáo thường niên năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,1/4/2019,Quý cổ đông vui lòng xem chi tiết báo cáo  Tại đây ,https://bamepharm.com.vn/2019/04/01/cbtt-ve-bao-cao-thuong-nien-nam-2018/
CBTT về Báo cáo tài chính 2018 (Sau kiểm toán),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,21/03/2019,Quý cổ đông vui lòng xem chi tiết BCTC 2018  Tại đây ,https://bamepharm.com.vn/2019/03/21/cbtt-ve-bcao-cao-tai-chinh-2018-sau-kiem-toan/
CBTT về ngày đăng ký cuối cùng dự ĐHĐCĐ 2019,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,6/3/2019,,https://bamepharm.com.vn/2019/03/06/cbtt-ve-ngay-dang-ky-cuoi-cung-du-dhdcd-2019/
CBTT báo cáo tình hình quản trị Công ty năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/01/2019,Quý cổ đông vui lòng xem nội dung chi tiết liên kết dưới đây: CBTT_Tinh hinh quan tri cong ty_signed,https://bamepharm.com.vn/2019/01/28/cbtt-bao-cao-tinh-hinh-quan-tri-cong-ty-nam-2018/
CBTT báo cáo danh sách cổ đông lớn 06 tháng cuối năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,24/01/2019,Quý cổ đông vui lòng xem nội dung chi tiết liên kết dưới đây: CBTT_Danh sach co dong lon_signed,https://bamepharm.com.vn/2019/01/24/cbtt-bao-cao-danh-sach-co-dong-lon-06-thang-cuoi-nam-2018/
CBTT về chốt danh sách cổ đông chi tạm ứng cổ tức năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,26/11/2018,,https://bamepharm.com.vn/2018/11/26/cbtt-ve-chot-danh-sach-co-dong-chi-tam-ung-co-tuc-nam-2018/
CBTT về việc bổ nhiệm Kế toán trưởng Công ty,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,1/9/2018,,https://bamepharm.com.vn/2018/09/01/cbtt-ve-viec-bo-nhiem-ke-toan-truong-cong-ty/
CBTT về quyết định của Cục thuế tỉnh Đắk Lắk,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,14/08/2018,,https://bamepharm.com.vn/2018/08/14/cbtt-ve-quyet-dinh-cua-cuc-thue-tinh-dak-lak/
CBTT về việc gia hạn thời gian giữ chức vụ Phụ trách kế toán,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,1/8/2018,,https://bamepharm.com.vn/2018/08/01/cbtt-ve-viec-gia-han-thoi-gian-giu-chuc-vu-phu-trach-ke-toan/
Thông báo của HĐQT về việc quản lý tài khoản chứng khoán của cổ đông,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,1/8/2018,,https://bamepharm.com.vn/2018/08/01/thong-bao-cua-hdqt-ve-viec-quan-ly-tai-khoan-chung-khoan-cua-co-dong/
CBTT về ký hợp đồng kiểm toán 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,30/06/2018,,https://bamepharm.com.vn/2018/06/30/cbtt-ve-ky-hop-dong-kiem-toan-2018/
CBTT về chi trả cổ tức năm 2017,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,16/05/2018,,https://bamepharm.com.vn/2018/05/16/cbtt-ve-chi-tra-co-tuc-nam-2017/
Ban hành Quy chế nội bộ về quản trị Công ty,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/04/2018,        Quý cổ đông vui lòng xem nội dung chi tiết :  Tại đây,https://bamepharm.com.vn/2018/04/27/ban-hanh-quy-che-noi-bo-ve-quan-tri-cong-ty/
CBTT về ban hành Điều lệ sửa đổi; Bổ nhiệm người phụ trách quản trị Công ty; Hạn mức tín dụng năm 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/04/2018,  Quý cổ đông vui lòng xem nội dung chi tiết:  Tại đây,https://bamepharm.com.vn/2018/04/27/cbtt-ve-ban-hanh-dieu-le-sua-doi-bo-nhiem-nguoi-phu-trach-quan-tri-cong-ty-han-muc-tin-dung-nam-2018/
CBTT về Biên bản và Nghị quyết ĐHĐCĐ 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/04/2018,Quý cổ đông vui lòng xem nội dung chi tiết:  Tại đây,https://bamepharm.com.vn/2018/04/27/cbtt-ve-bien-ban-va-nghi-quyet-dhdcd-2018/
"Thư mời, giấy uỷ quyền, chương trình làm việc và tài liệu ĐHĐCĐ năm 2018",https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,14/04/2018,Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây: 1. Thư mời tham dự ĐHĐCĐ năm 2018:  Tại đây 2. Thư xác […],https://bamepharm.com.vn/2018/04/14/thu-moi-giay-uy-quyen-chuong-trinh-lam-viec-va-tai-lieu-dhdcd-nam-2018/
Thông báo về việc tổ chức Đại hội đồng cổ đông thường niên 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,10/4/2018,,https://bamepharm.com.vn/2018/04/10/thong-bao-ve-viec-to-chuc-dai-hoi-dong-co-dong-thuong-nien-2018/
CBTT về Báo cáo thường niên năm 2017,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,2/4/2018,Quý cổ đông vui lòng xem chi tiết báo cáo  Tại đây ,https://bamepharm.com.vn/2018/04/02/cbtt-ve-bao-cao-thuong-nien-nam-2017/
CBTT về Báo cáo tài chính 2017,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/03/2018,      Quý cổ đông vui lòng xem chi tiết BCTC 2017  Tại đây ,https://bamepharm.com.vn/2018/03/23/cbtt-ve-bao-cao-tai-chinh-2017/
Thông báo về ngày đăng ký cuối cùng chốt danh sách dự ĐHĐCĐ 2018,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,8/3/2018,,https://bamepharm.com.vn/2018/03/08/thong-bao-ve-ngay-dang-ky-cuoi-cung-chot-danh-sach-du-dhdcd-2018/
CBTT: Báo cáo tình hình quản trị Công ty 2017,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,30/01/2018,Quý cổ đông vui lòng xem chi tiết nội dung  Tại đây ,https://bamepharm.com.vn/2018/01/30/cbtt-bao-cao-tinh-hinh-quan-tri-cong-ty-2017/
CBTT về việc bổ sung hạn mức tín dụng,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/11/2017,,https://bamepharm.com.vn/2017/11/23/cbtt-ve-viec-bo-sung-han-muc-tin-dung/
Thông báo: Giao dịch cổ phiếu của cổ đông,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/10/2017,,https://bamepharm.com.vn/2017/10/27/thong-bao-giao-dich-co-phieu-cua-co-dong-2/
Thông báo: Giao dịch cổ phiếu của cổ đông,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,29/09/2017,,https://bamepharm.com.vn/2017/09/29/thong-bao-giao-dich-co-phieu-cua-co-dong/
Công bố thông tin về bổ nhiệm Phó Tổng Giám đốc Công ty đối với ông Trần Anh Tuấn,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,8/7/2017,,https://bamepharm.com.vn/2017/07/08/cong-bo-thong-tin-ve-bo-nhiem-pho-tong-giam-doc-cong-ty/
Công bố thông tin về việc thôi giao nhiệm vụ Kế toán trưởng đối với bà Nguyễn Thị Thanh Hân,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,28/06/2017,,https://bamepharm.com.vn/2017/06/28/cong-bo-thong-tin-ve-viec-thoi-giao-nhiem-vu-ke-toan-truong-doi-voi-ba-nguyen-thi-thanh-han/
Công bố thông tin Quyết định của Cục thuế tỉnh Đắk Lắk,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,13/06/2017,,https://bamepharm.com.vn/2017/06/13/cong-bo-thong-tin-quyet-dinh-cua-cuc-thue-tinh-dak-lak/
CBTT về hạn mức tín dụng 2017 và thay đổi người công bố thông tin,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,27/05/2017,,https://bamepharm.com.vn/2017/05/27/cbtt-ve-han-muc-tin-dung-2017-va-thay-doi-nguoi-cong-bo-thong-tin/
Công bố thông tin về việc thôi giao nhiệm vụ Phó Tổng Giám đốc đối với ông Nguyễn Ngọc Tuyên,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,19/04/2017,,https://bamepharm.com.vn/2017/04/19/cong-bo-thong-tin-ve-viec-thoi-giao-nhiem-vu-pho-tong-giam-doc-doi-voi-ong-nguyen-ngoc-tuyen/
Công bố thông tin về thay đổi Giấy phép kinh doanh,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,5/4/2017,,https://bamepharm.com.vn/2017/04/05/cong-bo-thong-tin-ve-thay-doi-giay-phep-kinh-doanh/
Thông báo chốt quyền chi trả cổ tức năm 2016,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,25/03/2017,,https://bamepharm.com.vn/2017/03/25/thong-bao-chot-quyen-chi-tra-co-tuc-nam-2016/
"CBTT: Kết quả bầu cử thành viên HĐQT, BKS nhiệm kỳ 2017-2021; Bổ nhiệm Tổng Giám đốc và Thư ký Công ty; Thay đổi người công bố thông tin",https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/03/2017,,https://bamepharm.com.vn/2017/03/23/cbtt-ket-qua-bau-cu-thanh-vien-hdqt-bks-nhiem-ky-2017-2021-bo-nhiem-tong-giam-doc-va-thu-ky-cong-ty-thay-doi-nguoi-cong-bo-thong-tin/
Công bố thông tin: Biên bản và Nghị quyết của ĐHĐCĐ nhiệm kỳ IV (2017-2021),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,23/03/2017,Quý cổ đông vui lòng xem chi tiết nội dung  Tại đây         ,https://bamepharm.com.vn/2017/03/23/cong-bo-thong-tin-bien-ban-va-nghi-quyet-cua-dhdcd-nhiem-ky-iv-2017-2021/
Báo cáo thường niên năm 2016,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,20/03/2017,Quý cổ đông vui lòng xem chi tiết nội dung  Tại đây ,https://bamepharm.com.vn/2017/03/20/bao-cao-thuong-nien-nam-2016/
Công bố thông tin: Báo cáo tài chính 2016 (Đã kiểm toán),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,16/03/2017,Quý cổ đông vui lòng xem chi tiết nội dung  Tại đây ,https://bamepharm.com.vn/2017/03/16/cong-bo-thong-tin-bao-cao-tai-chinh-2016-da-kiem-toan/
Công bố thông tin: Thời gian tổ chức ĐHĐCĐ năm 2017,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,7/3/2017,,https://bamepharm.com.vn/2017/03/07/cong-bo-thong-tin-thoi-gian-to-chuc-dhdcd-nam-2017/
"Thư mời, giấy uỷ quyền, chương trình làm việc và tài liệu ĐHĐCĐ năm 2017",https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,7/3/2017,Quý cổ đông vui lòng xem nội dung các mục liên quan dưới đây:     1. Thư mời tham dự ĐHĐCĐ năm 2017:  Tại đây   2. Giấy […],https://bamepharm.com.vn/2017/03/07/thu-moi-giay-uy-quyen-chuong-trinh-lam-viec-va-tai-lieu-dhdcd-nam-2017/
Thông báo ngày đăng ký cuối cùng để dự ĐHĐCĐ nhiệm kỳ IV (2017-2021),https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,13/02/2017,Xin mời quý cổ đông xem nội dung thông báo tại:  Thông báo chốt danh sách cổ đông dự ĐHĐCĐ,https://bamepharm.com.vn/2017/02/13/thong-bao-ngay-dang-ky-cuoi-cung-de-du-dhdcd-nhiem-ky-iv-2017-2021/
Báo cáo tình hình quản trị năm 2016,https://bamepharm.com.vn/wp-content/uploads/2017/04/SiteLogoSmall.jpg,30/01/2017,Quý cổ đông vui lòng xem chi tiết nội dung  Tại đây,https://bamepharm.com.vn/2017/01/30/bao-cao-tinh-hinh-quan-tri-nam-2016/
